title,worldwide_gross,runtime,budget,imdb_rating,score_error,normal_error,score_mean,normal_mean,score_median,normal_median,score_skew,normal_skew,score_std,normal_std,movie_id,date,user_score,vote_count_x,popularity_x,movie_id,date,themoviedb_rating,vote_count_y,popularity_y,movie_id,date,themoviedb_rating,vote_count,popularity
Spider-Man: Homecoming,880166924,133,175000000,7.5,2.125633788199425,0.02477509672496299,5.025270384611218,0.06531161843682239,6.298498974350393,0.05347508832070035,1.0369766868297,2.2129922228128094,6.376901364598275,0.07432529017488897,315635,2017-07-05,7.4,13183,37.704,315635,2017-07-05,7.4,13183,37.704,315635,2017-07-05,7.4,13183,37.704
Captain America: The First Avenger,370569774,124,140000000,6.9,1.9446764818143856,0.004233911965324397,5.788871375808273,0.028169159695244035,5.37468127732896,0.02513203801677159,0.2767720162168858,1.7435935499736637,3.889352963628771,0.008467823930648793,1771,2011-07-22,6.9,13986,20.576,1771,2011-07-22,6.9,13986,20.576,1771,2011-07-22,6.9,13986,20.576
Avengers: Endgame,2681988528,181,356000000,8.8,1.3967463684440478,0.022290051048908275,2.732637638194542,0.0350416637752345,0.6628004929202462,0.01626510394889133,2.633916655267078,4.110368802029945,6.246439654333717,0.09968413873459879,299534,2019-04-24,8.3,10794,41.937,299534,2019-04-24,8.3,10794,41.937,299534,2019-04-24,8.3,10794,41.937
Ant-Man and the Wasp,622674139,118,162000000,7.1,0.6257455042008561,0.01119259834070373,-0.5994762772716511,-0.0051941284402463525,-0.46907374171062854,-0.0029540617874537455,-0.6121807060058301,-0.5866771360946561,1.2514910084017121,0.02238519668140746,363088,2018-07-04,7.0,7476,27.689,363088,2018-07-04,7.0,7476,27.689,363088,2018-07-04,7.0,7476,27.689
Ant-Man,519445163,117,130000000,7.3,3.7486826097552837,0.007754497917625641,6.146090671730691,0.02270498880192075,2.52633135623338,0.01921421821442132,2.755955595459318,0.506310153638102,11.246047829265851,0.023263493752876924,102899,2015-07-14,7.1,13086,27.945,102899,2015-07-14,7.1,13086,27.945,102899,2015-07-14,7.1,13086,27.945
Thor: The Dark World,644783140,112,170000000,6.9,0.8554675094109959,0.010517889881168321,0.20892050606243995,-0.03036516180020521,-0.6765273213855718,-0.02788015227316791,2.5098259387766952,-0.7501772873735534,3.8257670071708563,0.04703743350829911,76338,2013-10-29,6.6,11118,28.534,76338,2013-10-29,6.6,11118,28.534,76338,2013-10-29,6.6,11118,28.534
Captain America: The Winter Soldier,714766572,136,170000000,7.8,2.5614223729195293,0.009368071859225918,5.886650666355601,0.02230877756875629,3.181198588262201,0.028603517256972095,1.2024345064568136,-0.9319596877255566,6.77688660134202,0.02478558840369427,100402,2014-03-20,7.7,12093,15.957,100402,2014-03-20,7.7,12093,15.957,100402,2014-03-20,7.7,12093,15.957
Avengers: Age of Ultron,1405413868,141,250000000,7.3,0.7011240555900473,0.005466428267896477,0.9980489199160567,0.014243863800157106,0.5731285960263093,0.01779528969832997,2.8402555701695356,-0.7073762822650835,3.1355220979193748,0.02444661040228591,99861,2015-04-22,7.3,14808,37.272,99861,2015-04-22,7.3,14808,37.272,99861,2015-04-22,7.3,14808,37.272
Guardians of the Galaxy Vol. 2,863756051,136,200000000,7.7,2.109417696894344,0.008206024818183874,4.116497064316696,0.018672590662196085,3.0395472751520485,0.019221184667466543,0.19679295464366894,-0.6526633115330652,5.16699701178801,0.02010057362116559,283995,2017-04-19,7.6,13823,34.828,283995,2017-04-19,7.6,13823,34.828,283995,2017-04-19,7.6,13823,34.828
Thor: Ragnarok,853977126,130,180000000,7.9,0.27584937762335815,0.006531100149947164,-0.6509420549078595,-0.012851732088007665,-0.573753680393605,-0.014696520249311767,0.03261548420107417,-0.31313311317683873,1.7446246488593935,0.04130630420100054,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892
Thor: Ragnarok,853977126,130,180000000,7.9,0.27584937762335815,0.006531100149947164,-0.6509420549078595,-0.012851732088007665,-0.573753680393605,-0.014696520249311767,0.03261548420107417,-0.31313311317683873,1.7446246488593935,0.04130630420100054,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892
Thor: Ragnarok,853977126,130,180000000,7.9,0.27584937762335815,0.006531100149947164,-0.6509420549078595,-0.012851732088007665,-0.573753680393605,-0.014696520249311767,0.03261548420107417,-0.31313311317683873,1.7446246488593935,0.04130630420100054,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892
Thor: Ragnarok,853977126,130,180000000,7.9,0.27584937762335815,0.006531100149947164,-0.6509420549078595,-0.012851732088007665,-0.573753680393605,-0.014696520249311767,0.03261548420107417,-0.31313311317683873,1.7446246488593935,0.04130630420100054,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892
Thor: Ragnarok,853977126,130,180000000,7.9,0.27584937762335815,0.006531100149947164,-0.6509420549078595,-0.012851732088007665,-0.573753680393605,-0.014696520249311767,0.03261548420107417,-0.31313311317683873,1.7446246488593935,0.04130630420100054,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892
Thor: Ragnarok,853977126,130,180000000,7.9,0.27584937762335815,0.006531100149947164,-0.6509420549078595,-0.012851732088007665,-0.573753680393605,-0.014696520249311767,0.03261548420107417,-0.31313311317683873,1.7446246488593935,0.04130630420100054,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892
Thor: Ragnarok,853977126,130,180000000,7.9,0.27584937762335815,0.006531100149947164,-0.6509420549078595,-0.012851732088007665,-0.573753680393605,-0.014696520249311767,0.03261548420107417,-0.31313311317683873,1.7446246488593935,0.04130630420100054,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892
Thor: Ragnarok,853977126,130,180000000,7.9,0.27584937762335815,0.006531100149947164,-0.6509420549078595,-0.012851732088007665,-0.573753680393605,-0.014696520249311767,0.03261548420107417,-0.31313311317683873,1.7446246488593935,0.04130630420100054,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892,284053,2017-10-25,7.5,12809,44.892
Doctor Strange,677718395,115,165000000,7.5,9.809260610563053,0.00743158119188316,19.207777201538175,0.028039823281678224,7.209655681872015,0.027556060332266152,2.0073725293794547,1.0681718845203376,27.744778784620916,0.02101968582287595,284052,2016-10-25,7.4,13881,28.604,284052,2016-10-25,7.4,13881,28.604,284052,2016-10-25,7.4,13881,28.604
The Avengers,1519557910,143,220000000,8.1,1.0322838489684103,0.006981764828851729,2.5675007757068267,0.029087830034477864,1.0164941572267032,0.020500441084581753,2.8674525757218703,0.9637099957216088,4.616513716736984,0.031223401520459305,24428,2012-04-25,7.7,21256,40.091,24428,2012-04-25,7.7,21256,40.091,24428,2012-04-25,7.7,21256,40.091
